"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2022","976.95","980.00","994.76","974.44","","-0.42%"
"11/17/2022","981.03","1,005.00","1,015.44","977.94","","-2.48%"
"11/16/2022","1,006.01","1,013.50","1,029.31","1,002.06","","-0.84%"
"11/15/2022","1,014.51","1,018.00","1,042.81","1,007.81","","-0.29%"
"11/14/2022","1,017.48","1,023.39","1,037.19","1,002.44","","-1.08%"
"11/11/2022","1,028.58","1,032.17","1,062.44","1,022.71","","-0.34%"
"11/10/2022","1,032.08","985.51","1,048.19","985.38","","4.74%"
"11/09/2022","985.41","998.00","1,015.19","982.06","","-1.21%"
"11/08/2022","997.48","978.98","1,007.44","970.00","","1.89%"
"11/07/2022","978.99","960.50","988.03","948.78","","1.88%"
"11/04/2022","960.93","918.96","968.44","916.27","","4.57%"
"11/03/2022","918.92","934.49","947.75","910.45","","-1.19%"
"11/02/2022","930.00","943.41","961.73","933.50","","-1.36%"
"11/01/2022","942.82","923.86","958.60","927.01","","1.85%"
